,Academic Year,B-T,C,Captain,Custom Field 1,Event,Events,Full Name,HIGH SCHOOL,HOMETOWN,HT,High School,Hometown,Ht,Ht.,LETTERS,Letters,NAME,NO,Name,No,POS,Pos,Pos.,Wt,Wt.,YR,Year,Yr,Yr.,title
16,,,,,,,,,,,,Ottawa,"Ottawa, Ill.",6-0,,,,,,Austin Burant,12D,,DB,,185,,,,Fr.,,2013 Augustana Football Roster
17,,,,,,,,,,,,Providence Catholic,"Plainfield, Ill.",6-0,,,,,,Chris Salazar,12,,QB,,205,,,,So.,,2013 Augustana Football Roster
18,,,,,,,,,,,,Wheaton-Warrenville South,"Wheaton, Ill.",5-7,,,,,,Kyle Snow 1,13,,WR,,170,,,,Sr.,,2013 Augustana Football Roster
19,,,,,,,,,,,,Peoria,"Peoria, Ill.",5-9,,,,,,Daniel Watson,13D,,DB,,165,,,,Fr.,,2013 Augustana Football Roster
20,,,,,,,,,,,,Waubonsie Valley,"Naperville, Ill.",5-11,,,,,,Ken Clay 1,15,,DB,,192,,,,Sr.,,2013 Augustana Football Roster
21,,,,,,,,,,,,V. Sue Cleveland,"Rio Rancho, N.M.",6-1,,,,,,John Bastian,16,,DB,,185,,,,Fr.,,2013 Augustana Football Roster
22,,,,,,,,,,,,Pontiac,"Pontiac, Ill.",5-6,,,,,,Eric DeMattia,17D,,DB,,140,,,,Fr.,,2013 Augustana Football Roster
23,,,,,,,,,,,,Batavia,"Batavia, Ill.",5-11,,,,,,Ben Fornek 1,17,,DB,,185,,,,Jr.,,2013 Augustana Football Roster
24,,,,,,,,,,,,Providence Catholic,"Manhattan, Ill.",5-10,,,,,,Sean Fitzgerald 1,18,,WR,,158,,,,So.,,2013 Augustana Football Roster
25,,,,,,,,,,,,Valley Christian,"San Jose, Calif.",5-5,,,,,,Jordan Furiosi,18D,,RB,,175,,,,Fr.,,2013 Augustana Football Roster
26,,,,,,,,,,,,Strake Jesuit,"Houston, Texas",6-1,,,,,,Robert Martin,19,,QB/TE,,230,,,,Fr.,,2013 Augustana Football Roster
27,,,,,,,,,,,,Evanston Township,"Evanston, Ill.",5-11,,,,,,Justin Bishop,20D,,RB,,200,,,,Fr.,,2013 Augustana Football Roster
28,,,,,,,,,,,,Willowbrook,"Lombard, Ill.",5-8,,,,,,Steve Frobel,20,,DB,,170,,,,Sr.,,2013 Augustana Football Roster
29,,,,,,,,,,,,St. Charles North,"St. Charles, Ill.",5-10,,,,,,George Edlund,21D,,RB,,181,,,,Fr.,,2013 Augustana Football Roster
30,,,,,,,,,,,,Hersey,"Arlington Heights, Ill.",6-0,,,,,,Frank Kalble,21,,DB,,190,,,,So.,,2013 Augustana Football Roster
31,,,,,,,,,,,,Loyola Academy,"Mt. Prospect, Ill.",5-11,,,,,,Colin Skinner,22,,RB,,175,,,,Fr.,,2013 Augustana Football Roster
32,,,,,,,,,,,,Burlington Central,"Elgin, Ill.",5-11,,,,,,Tim Maroder 2,23,,DB,,195,,,,Jr.,,2013 Augustana Football Roster
33,,,,,,,,,,,,East Dubuque,"East Dubuque, Ill.",5-11,,,,,,Jacob Puls,24,,DB,,185,,,,Jr.,,2013 Augustana Football Roster
34,,,,,,,,,,,,Lemont,"Lemont, Ill.",5-10,,,,,,Christos Giatras,25,,RB,,210,,,,Fr.,,2013 Augustana Football Roster
35,,,,,,,,,,,,Edison,"Tulsa, Okla.",5-7,,,,,,Paris Edwards,26,,RB,,158,,,,So.,,2013 Augustana Football Roster
36,,,,,,,,,,,,Lyons Township,"LaGrange, Ill.",5-8,,,,,,Jaymes Young,26D,,DB,,150,,,,So.,,2013 Augustana Football Roster
37,,,,,,,,,,,,Willowbrook,"Villa Park, Ill.",5-11,,,,,,Mike McLean 1,27,,RB,,205,,,,Sr.,,2013 Augustana Football Roster
38,,,,,,,,,,,,East Dubuque,"East Dubuque, Ill.",5-10,,,,,,Jared Puls,28,,DB,,170,,,,Jr.,,2013 Augustana Football Roster
39,,,,,,,,,,,,Cary-Grove,"Cary, Ill.",5-9,,,,,,Eric Chandler 3,29,,RB,,210,,,,Sr.,,2013 Augustana Football Roster
40,,,,,,,,,,,,Wilmington,"Wilmington, Ill.",5-8,,,,,,Justin Gruca 1,30,,DB,,190,,,,Sr.,,2013 Augustana Football Roster
41,,,,,,,,,,,,Romeoville,"Romeoville, Ill.",6-2,,,,,,Bo Goshorn 2,31,,DB,,195,,,,Jr.,,2013 Augustana Football Roster
42,,,,,,,,,,,,Rock Island,"Rock Island, Ill.",5-9,,,,,,Carter Hall,32D,,RB,,170,,,,Fr.,,2013 Augustana Football Roster
43,,,,,,,,,,,,La Serna,"Whittier, Calif.",5-8,,,,,,O.J. Medina,32,,RB,,175,,,,So.,,2013 Augustana Football Roster
44,,,,,,,,,,,,Pana,"Oconee, Ill.",6-0,,,,,,Nic Dilley,33D,,DE,,215,,,,Fr.,,2013 Augustana Football Roster
45,,,,,,,,,,,,Fossil Ridge,"Fort Collins, Colo.",5-8,,,,,,James Fanning,33,,RB,,175,,,,So.,,2013 Augustana Football Roster
46,,,,,,,,,,,,St. Charles North,"Elburn, Ill.",5-8,,,,,,Benjamin Hodges 2,34,,RB,,195,,,,Jr.,,2013 Augustana Football Roster
47,,,,,,,,,,,,St. Joseph-Ogden,"St. Joseph, Ill.",5-9,,,,,,Josh Poulter,34D,,LB,,195,,,,Fr.,,2013 Augustana Football Roster
48,,,,,,,,,,,,Marquette Academy,"Ottawa, Ill.",6-0,,,,,,Justin Dyche 1,35,,LB,,210,,,,Jr.,,2013 Augustana Football Roster
49,,,,,,,,,,,,Peotone,"Manhattan, Ill.",5-11,,,,,,Jeremy Lensing,36,,P/K,,194,,,,So.,,2013 Augustana Football Roster
50,,,,,,,,,,,,Conifer,"Morrison, Colo.",5-11,,,,,,Conner Murray 1,37,,K/P,,185,,,,Jr.,,2013 Augustana Football Roster
51,,,,,,,,,,,,Mt. Zion,"Mt. Zion, Ill.",5-9,,,,,,Jacob Smith,38,,RB,,210,,,,Jr.,,2013 Augustana Football Roster
52,,,,,,,,,,,,Huntley,"Huntley, Ill.",6-2,,,,,,Josh Symbal,38D,,LB,,200,,,,So.,,2013 Augustana Football Roster
53,,,,,,,,,,,,Aurora Christian,"Yorkville, Ill.",5-11,,,,,,Dylan Smith 2,39,,LB,,214,,,,Sr.,,2013 Augustana Football Roster
54,,,,,,,,,,,,Warren,"Gurnee, Ill.",6-0,,,,,,Erik Johnson,40,,LB,,200,,,,Fr.,,2013 Augustana Football Roster
55,,,,*,,,,,,,,York,"Elmhurst, Ill.",6-3,,,,,,Erik Westerberg 3,41,,LB,,215,,,,Sr.,,2013 Augustana Football Roster
56,,,,,,,,,,,,Mundelein,"Mundelein, Ill.",6-1,,,,,,Mike O'Donoghue 3,42,,DB,,215,,,,Jr.,,2013 Augustana Football Roster
57,,,,,,,,,,,,Wheaton North,"Carol Stream, Ill.",6-3,,,,,,Ryan Coleman 2,43,,DE,,245,,,,Sr.,,2013 Augustana Football Roster
58,,,,,,,,,,,,Wheaton North,"Wheaton, Ill.",6-2,,,,,,Kevin Farley,44,,DB,,204,,,,Sr.,,2013 Augustana Football Roster
59,,,,,,,,,,,,Plano,"Plano, Ill.",5-11,,,,,,Zach Peruski,45,,TE,,225,,,,Fr.,,2013 Augustana Football Roster
60,,,,,,,,,,,,La Salle-Peru,"Peru, Ill.",6-0,,,,,,Luke Kowalczyk,46,,LB,,210,,,,Jr.,,2013 Augustana Football Roster
61,,,,,,,,,,,,West Leyden,"Northlake, Ill.",5-10,,,,,,Frank Habura,47,,DB,,161,,,,So.,,2013 Augustana Football Roster
62,,,,,,,,,,,,Fremd,"Palatine, Ill.",5-9,,,,,,R.J. Tarallo,47D,,OL,,190,,,,Fr.,,2013 Augustana Football Roster
63,,,,,,,,,,,,Prince of Peace,"Clinton, Iowa",6-3,,,,,,Sean Mulholland 3,48,,DE,,250,,,,Sr.,,2013 Augustana Football Roster
64,,,,,,,,,,,,Geneseo,"Geneseo, Ill.",5-10,,,,,,Michael Daniels,49,,LB,,210,,,,Fr.,,2013 Augustana Football Roster
65,,,,,,,,,,,,Bartlett,"Bartlett, Ill.",6-0,,,,,,Nick Mazzei,49D,,RB,,240,,,,Fr.,,2013 Augustana Football Roster
66,,,,,,,,,,,,Cary-Grove,"Cary, Ill.",5-10,,,,,,Sam Mago,50,,DL,,230,,,,So.,,2013 Augustana Football Roster
67,,,,,,,,,,,,Westminster Christian,"St. Louis, Mo.",6-0,,,,,,Jesse Gruneisen,51,,LB,,200,,,,Fr.,,2013 Augustana Football Roster
68,,,,,,,,,,,,Buffalo Grove,"Arlington Heights, Ill.",5-9,,,,,,Jack Asquini,52,,LB,,205,,,,Fr.,,2013 Augustana Football Roster
69,,,,,,,,,,,,Williamsville,"Williamsville, Ill.",6-1,,,,,,A.J. Hollis,53,,LB,,200,,,,Fr.,,2013 Augustana Football Roster
70,,,,,,,,,,,,Marian Central,"Algonquin, Ill.",6-3,,,,,,Will Hass 2,54,,DL,,272,,,,Sr.,,2013 Augustana Football Roster
71,,,,,,,,,,,,Sherrard,"Sherrard, Ill.",6-1,,,,,,James Stratton 2,55,,LB,,230,,,,Sr.,,2013 Augustana Football Roster
72,,,,,,,,,,,,Geneseo,"Geneseo, Ill.",6-1,,,,,,Anthony Roome 2,56,,OL,,255,,,,Jr.,,2013 Augustana Football Roster
73,,,,,,,,,,,,Genoa-Kingston,"Genoa, Ill.",6-2,,,,,,Sean McIntyre 2,57,,DE,,255,,,,Jr.,,2013 Augustana Football Roster
74,,,,,,,,,,,,Hillsboro,"Witt, Ill.",5-10,,,,,,John Joyce,58,,LB,,220,,,,Sr.,,2013 Augustana Football Roster
75,,,,,,,,,,,,Geneseo,"Geneseo, Ill.",6-2,,,,,,Alex Anderson 1,59,,OL,,255,,,,Jr.,,2013 Augustana Football Roster
76,,,,,,,,,,,,Millard West,"Omaha, Neb.",6-1,,,,,,Thomas Enke 1,60,,LB,,225,,,,Jr.,,2013 Augustana Football Roster
77,,,,,,,,,,,,Wauconda,"Wauconda, Ill.",6-0,,,,,,David Lowe,61,,OL,,295,,,,Fr.,,2013 Augustana Football Roster
78,,,,,,,,,,,,Kaneland,"Montgomery, Ill.",6-1,,,,,,Eric Dratnol 1,62,,OL,,230,,,,Sr.,,2013 Augustana Football Roster
79,,,,,,,,,,,,Crystal Lake South,"Crystal Lake, Ill.",6-2,,,,,,Trace Wingo 3,63,,OL,,280,,,,Sr.,,2013 Augustana Football Roster
80,,,,,,,,,,,,Mercer County,"New Boston, Ill.",6-3,,,,,,Matt Zimmerman,64,,OL,,250,,,,Fr.,,2013 Augustana Football Roster
81,,,,,,,,,,,,Morton,"Morton, Ill.",6-1,,,,,,Jon Losen,65,,OL,,270,,,,Jr.,,2013 Augustana Football Roster
82,,,,,,,,,,,,St. Charles East,"St. Charles, Ill.",6-2,,,,,,Tommy Wilson,66,,OL,,265,,,,Fr.,,2013 Augustana Football Roster
83,,,,,,,,,,,,Sherrard,"Aledo, Ill.",6-2,,,,,,Eric Link 2,67,,OL,,255,,,,Sr.,,2013 Augustana Football Roster
84,,,,,,,,,,,,Wheaton-Warrenville South,"Wheaton, Ill.",6-2,,,,,,Ryan McCarthy,68,,OL,,220,,,,Fr.,,2013 Augustana Football Roster
85,,,,,,,,,,,,Rock Falls,"Rock Falls, Ill.",6-2,,,,,,Jonas Robbins,69,,OL,,265,,,,Fr.,,2013 Augustana Football Roster
86,,,,,,,,,,,,Milledgeville,"Milledgeville, Ill.",6-3,,,,,,Douglas Williams,70,,OL,,245,,,,Fr.,,2013 Augustana Football Roster
87,,,,,,,,,,,,St. Viator,"South Barrington, Ill.",6-3,,,,,,Aaron Shuff 1,71,,DE,,231,,,,Sr.,,2013 Augustana Football Roster
88,,,,,,,,,,,,Buffalo Grove,"Buffalo Grove, Ill.",5-11,,,,,,A.J. Wright,71D,,OL,,250,,,,Fr.,,2013 Augustana Football Roster
89,,,,,,,,,,,,Arbor View,"Las Vegas, Nev.",6-1,,,,,,Frank Johnson II,72,,OC,,250,,,,Fr.,,2013 Augustana Football Roster
90,,,,,,,,,,,,Wilmington,"Wilmington, Ill.",6-0,,,,,,Josh Fowler,73,,OL,,250,,,,Fr.,,2013 Augustana Football Roster
91,,,,,,,,,,,,Federal Hocking,"Coolville, Ohio",6-9,,,,,,Mark Sheets,74,,OL,,275,,,,Fr.,,2013 Augustana Football Roster
92,,,,,,,,,,,,Hersey,"Prospect Heights, Ill.",6-2,,,,,,Dan Gregg,75,,OL,,250,,,,Sr.,,2013 Augustana Football Roster
93,,,,,,,,,,,,Romeoville,"Romeoville, Ill.",6-3,,,,,,Brad Smidt,76,,OL,,350,,,,So.,,2013 Augustana Football Roster
94,,,,,,,,,,,,Lyons Township,"LaGrange, Ill.",6-0,,,,,,Nick Stone,77,,OL,,265,,,,Jr.,,2013 Augustana Football Roster
95,,,,,,,,,,,,Plainfield South,"Plainfield, Ill.",6-2,,,,,,Greg Ferguson 1,78,,OL,,260,,,,Jr.,,2013 Augustana Football Roster
96,,,,,,,,,,,,Assumption,"Rock Island, Ill.",6-0,,,,,,Roman Shepard,80,,WR,,177,,,,Jr.,,2013 Augustana Football Roster
97,,,,,,,,,,,,Benet Academy,"Wheaton, Ill.",6-0,,,,,,Ryan Plunkett,81,,LB,,195,,,,Sr.,,2013 Augustana Football Roster
98,,,,,,,,,,,,West Leyden,"Northlake, Ill.",6-0,,,,,,Michael Lurigio,83,,WR,,175,,,,So.,,2013 Augustana Football Roster
99,,,,,,,,,,,,Fenwick,"Riverside, Ill.",6-3,,,,,,Danny Lattner,84,,WR,,185,,,,Fr.,,2013 Augustana Football Roster
100,,,,,,,,,,,,West Leyden,"Melrose Park, Ill.",6-0,,,,,,Andrew Garcia,85,,WR,,175,,,,Fr.,,2013 Augustana Football Roster
101,,,,,,,,,,,,St. Edward,"Elgin, Ill.",6-2,,,,,,Robert French,86,,TE,,217,,,,So.,,2013 Augustana Football Roster
102,,,,,,,,,,,,Central,"Clifton, Ill.",6-0,,,,,,Kyle Frake 1,87,,WR,,205,,,,Jr.,,2013 Augustana Football Roster
103,,,,,,,,,,,,Moline,"Moline, Ill.",6-1,,,,,,Nick Krantz 3,88,,WR,,200,,,,Sr.,,2013 Augustana Football Roster
104,,,,,,,,,,,,Carmel,"Gurnee, Ill.",6-1,,,,,,Grant Stredler,89,,DE,,220,,,,Fr.,,2013 Augustana Football Roster
105,,,,,,,,,,,,Deer Creek-Mackinaw,"Mackinaw, Ill.",6-1,,,,,,Brandon Stiers 1,90,,DE,,225,,,,So.,,2013 Augustana Football Roster
106,,,,,,,,,,,,Columbus Academy,"Gahanna, Ohio",6-0,,,,,,Mike Roehrenbeck,91,,DL,,218,,,,Sr.,,2013 Augustana Football Roster
107,,,,,,,,,,,,Le Roy,"Le Roy, Ill.",5-9,,,,,,Jason Byro 1,92,,LB,,210,,,,Sr.,,2013 Augustana Football Roster
108,,,,,,,,,,,,Indian Rocks Christian,"Largo, Fla.",6-0,,,,,,Shackleton Steward 0,95,,LB,,220,,,,Fr.,,2013 Augustana Football Roster
109,,,,,,,,,,,,Lanark-Eastland,"Freeport, Ill.",6-3,,,,,,Ben Reed,97,,DL,,295,,,,Jr.,,2013 Augustana Football Roster
110,,,,,,,,,,,,Plainfield East,"Bolingbrook, Ill.",6-0,,,,,,LaSalle Smith,98,,LB,,220,,,,Fr.,,2013 Augustana Football Roster
111,,,,,,,,,,,,Illini West,"Carthage, Ill.",6-3,,,,,,Carl Hartweg 2,99,,DL,,275,,,,Sr.,,2013 Augustana Football Roster
0,,,,,,,,,Kaneland,"Sugar Grove, Ill.",5-5,,,,,,,Kylie Siebert 1,1.0,,,DS,,,,,So.,,,,2013 Augustana Volleyball Roster
1,,,,*,,,,,HS,"Lisle, Ill.",5-7,,,,,,,Stephanie Petkovsek 1,3.0,,,S,,,,,Jr.,,,,2013 Augustana Volleyball Roster
2,,,,,,,,,Hilliard Davidson,"Hilliard, Ohio",5-6,,,,,,,Jordan Hampel 1,4.0,,,S,,,,,So.,,,,2013 Augustana Volleyball Roster
3,,,,,,,,,North Scott,"Eldridge, Iowa",5-5,,,,,,,Hannah Lindaman,5.0,,,S,,,,,Fr.,,,,2013 Augustana Volleyball Roster
4,,,,,,,,,HS,"Antioch, Ill.",5-6,,,,,,,Amber Dalgaard 1,6.0,,,DS,,,,,Jr.,,,,2013 Augustana Volleyball Roster
5,,,,,,,,,Addison Trail,"Addison, Ill.",5-10,,,,,,,Katie Keller 1,8.0,,,MH,,,,,Jr.,,,,2013 Augustana Volleyball Roster
6,,,,,,,,,Sherrard,"Milan, Ill.",5-9,,,,,,,Samantha Kammerman 2,9.0,,,OH,,,,,Jr.,,,,2013 Augustana Volleyball Roster
7,,,,,,,,,Clear Creek Amana,"North Liberty, Iowa",5-10,,,,,,,Amy Kalkhoff,10.0,,,MH,,,,,Fr.,,,,2013 Augustana Volleyball Roster
8,,,,,,,,,Illinois Valley Central,"Chillicothe, Ill.",5-9,,,,,,,Laura Hedden,11.0,,,OH,,,,,Fr.,,,,2013 Augustana Volleyball Roster
9,,,,,,,,,St. Bede Academy,"LaSalle, Ill.",5-11,,,,,,,Hailee Brayton,12.0,,,MH,,,,,Jr.,,,,2013 Augustana Volleyball Roster
10,,,,,,,,,HS,"Lake Zurich, Ill.",5-8,,,,,,,Nicole Morrissey,13.0,,,RS,,,,,Fr.,,,,2013 Augustana Volleyball Roster
11,,,,,,,,,St. Viator,"Mt. Prospect, Ill.",5-9,,,,,,,Emily Leazer 2,14.0,,,OH,,,,,Jr.,,,,2013 Augustana Volleyball Roster
12,,,,*,,,,,Tremont,"Tremont, Ill.",5-10,,,,,,,Dory Dudley 2,15.0,,,RS,,,,,Jr.,,,,2013 Augustana Volleyball Roster
13,,,,*,,,,,HS,"Evanston, Ill.",5-10,,,,,,,Martha Murray 2,16.0,,,OH,,,,,So.,,,,2013 Augustana Volleyball Roster
