,ID,FY,Area,Add1,City,STPostal,NPRZip5,NPRDisasterNo,DisasterDescription,County,Owner,ResType,DamageCat,DateClosed,StrucType,PartOfProj,ProjTitle,ProjID,Status,Action,ProjCounties,Grantee,Subgrantee,Type,NPRDateClosed,NPRPricePaid,NPRLatitude,NPRLongitude,NPRElevation
4330,2033,1993,HMGP,139 5TH ST,COLUMBUS JUNCTION,IA,52738,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.28145,-91.3652,597.65
4338,2041,1993,HMGP,151 5TH ST,COLUMBUS JUNCTION,IA,52738,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.281837,-91.3652,615.19
4345,2048,1993,HMGP,160 5TH ST,COLUMBUS JUNCTION,IA,52738,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.281834,-91.365234,615.19
4350,2053,1993,HMGP,16257 CO RD X61,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.295235,-91.10987,541.84
4351,2054,1993,HMGP,16257 COUNTY RD X61,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.295408,-91.019862,531.09
4352,2055,1993,HMGP,16489 F AVE,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.29845,-91.10013000000001,547.25
4353,2056,1993,HMGP,16543 F AVE,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.29849,-91.10013000000001,547.25
4354,2057,1993,HMGP,16552 F AVE,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.434,-91.0805,695.7
4355,2058,1993,HMGP,16647 F AVE,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.301365000000004,-91.100075,547.95
4356,2059,1993,HMGP,16784 F AVE,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.300990000000006,-91.100044,547.47
4358,2061,1993,HMGP,16832 F AVE,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.434,-91.805,786.73
4359,2062,1993,HMGP,16865 CO RD X61,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.30388,-91.10968000000001,544.15
4360,2063,1993,HMGP,16923 CO RD X61,COLUMBUS JUNCTION,IA,52738,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.3627,-91.0963,549.13
4361,2064,1993,HMGP,16963 F AVE,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.305252,-91.09997,547.59
4363,2066,1993,HMGP,17004 CO RD X61,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.305614,-91.109604,542.95
4364,2067,1993,HMGP,17024 91ST AVE,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.306137,-91.10531999999999,542.67
4365,2068,1993,HMGP,17053 F AVE,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.307213,-91.0999,543.39
4366,2069,1993,HMGP,17082 CO RD X61,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.306606,-91.10956999999999,544.16
4367,2070,1993,HMGP,17085 93RD AVE (UNIT 1),MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.306957000000004,-91.107086,542.93
4368,2071,1993,HMGP,17085 93RD AVE (UNIT 2),MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.306957000000004,-91.107086,542.93
4369,2072,1993,HMGP,17086 92ND AVE,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.306664000000005,-91.10618000000001,543.88
4370,2073,1993,HMGP,17087 92ND AVE,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.306667,-91.10622,543.74
4371,2074,1993,HMGP,17113 93RD AVE,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.30722,-91.10708000000001,542.71
4372,2075,1993,HMGP,17116 93RD AVE,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.30726,-91.10704,543.25
4373,2076,1993,HMGP,17117 92ND AVE,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.30689,-91.10621,543.82
4374,2077,1993,HMGP,17151 92ND AVE,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.307140000000004,-91.1062,544.17
4375,2078,1993,HMGP,17156 92ND AVE,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.307186,-91.10616,544.17
4376,2079,1993,HMGP,17157 94TH AVE,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.30818,-91.10792,543.03
4377,2080,1993,HMGP,17159 93RD AVE (LOTS 11 & 6),MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.307485,-91.10713100000001,543.84
4378,2081,1993,HMGP,17191 9TH AVE,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.307442,-91.108036,543.99
4379,2082,1993,HMGP,17194 92ND AVE (LOT 1),MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.30747,-91.10616,544.35
4380,2083,1993,HMGP,17195 92ND AVE,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.307465,-91.1062,544.35
4381,2084,1993,HMGP,17215 92ND AVE (LOTS 4 & 17),MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.3656,-91.0959,547.83
4382,2085,1993,HMGP,17216 91ST AVE,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.30708,-91.10531999999999,543.69
4383,2086,1993,HMGP,17219 94THAVE,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.3656,-91.0959,547.83
4384,2087,1993,HMGP,17231 92ND AVE,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.308040000000005,-91.10649000000001,544.06
4385,2088,1993,HMGP,17238 94TH AVE,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.306988,-91.10791,543.09
4386,2089,1993,HMGP,17246 CO RD X61,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.309486,-91.10949000000001,543.9
4387,2090,1993,HMGP,17264 92ND AVE,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.308537,-91.10643,543.85
4388,2091,1993,HMGP,17265 93RD AVE (LOTS 15 & 2),MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.308531,-91.107096,543.09
4389,2092,1993,HMGP,17295 92ND AVE,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.308968,-91.10644,543.93
4390,2093,1993,HMGP,17298 94TH AVE,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.306087,-91.107796,542.18
4391,2094,1993,HMGP,17751 F AVE,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.31742,-91.102325,546.47
4392,2095,1993,HMGP,17823 F AVE,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.318527,-91.10215,546.77
4404,2107,1993,HMGP,18501 RANCH LN (LOTS 17-18),MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.3656,-91.0959,547.83
4405,2108,1993,HMGP,18505 LAIRAT LN,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.3656,-91.0959,547.83
4406,2109,1993,HMGP,18512 SUNSET LN,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.3656,-91.0959,547.83
4407,2110,1993,HMGP,18514 MAVERICK LN,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.327690000000004,-91.1054,545.91
4408,2111,1993,HMGP,18516 LARIAT LN,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.3656,-91.0959,547.83
4409,2112,1993,HMGP,18527 MAVERICK LN,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.327847,-91.10544,545.83
4410,2113,1993,HMGP,18529 LARIAT LN,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.3656,-91.0959,547.83
4411,2114,1993,HMGP,18532 LARIAT LN,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.3656,-91.0959,547.83
4412,2115,1993,HMGP,18536 SUNSET LN,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.3656,-91.0959,547.83
4413,2116,1993,HMGP,18538 MAVERICK LN,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.328003,-91.1054,545.59
4414,2117,1993,HMGP,18543 MAVERICK LN,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.328056,-91.10543,545.46
4415,2118,1993,HMGP,18545 LARIAT LN,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.3656,-91.0959,547.83
4416,2119,1993,HMGP,18552 SUNSET LN,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.3656,-91.0959,547.83
4417,2120,1993,HMGP,18554 MAVERICK LN,MUSCATINE,IA,52761,0996,SEVERE STORMS & FLOODING,Louisa,,,,12/2/1998,,Yes,LOUISA COUNTY ELEVATION & BUYOUT OF PROPERTIES,DR-0996-0008-R,Closed,Acquisition,LOUISA,,LOUISA,200.1: Acquisition of Private Real Property (Structures and Land) - Riverine,12/2/1998,,41.328213,-91.10539,545.22
